Date,Clicks,Impressions,CTR,Position
2025-01-17,0,22,0%,64.1
2025-01-18,0,23,0%,67.2
2025-01-19,0,14,0%,62.8
2025-01-20,0,15,0%,66.5
2025-01-21,0,29,0%,79.9
2025-01-22,0,82,0%,87.2
2025-01-23,0,75,0%,88.3
2025-01-24,0,78,0%,85.5
2025-01-25,0,65,0%,90.5
2025-01-26,0,62,0%,92.3
2025-01-27,0,53,0%,92.3
2025-01-28,0,53,0%,86.5
2025-01-29,1,58,1.72%,88.4
2025-01-30,0,80,0%,82.2
2025-01-31,0,51,0%,78.5
2025-02-01,0,54,0%,90.2
2025-02-02,0,85,0%,89.9
2025-02-03,0,21,0%,82.1
2025-02-04,0,11,0%,53.5
2025-02-05,0,10,0%,56.4
2025-02-06,0,11,0%,51.6
2025-02-07,0,16,0%,57.5
2025-02-08,0,9,0%,52
2025-02-09,0,12,0%,53.2
2025-02-10,0,10,0%,53
2025-02-11,0,15,0%,60.1
2025-02-12,0,15,0%,53.6
2025-02-13,0,10,0%,54.1
2025-02-14,0,23,0%,53.5
2025-02-15,0,18,0%,54
2025-02-16,0,10,0%,53.6
2025-02-17,0,18,0%,56.7
2025-02-18,0,12,0%,50.9
2025-02-19,0,16,0%,54.1
2025-02-20,0,23,0%,59.5
2025-02-21,0,17,0%,49.7
2025-02-22,0,15,0%,57.2
2025-02-23,0,15,0%,54.4
2025-02-24,0,13,0%,55.2
2025-02-25,0,15,0%,56.5
2025-02-26,0,20,0%,54.5
2025-02-27,0,18,0%,57.2
2025-02-28,0,28,0%,59.7
2025-03-01,0,15,0%,57.3
2025-03-02,0,28,0%,72.6
2025-03-03,0,31,0%,75.8
2025-03-04,0,20,0%,62.1
2025-03-05,2,29,6.9%,65.4
2025-03-06,0,22,0%,67.1
2025-03-07,0,16,0%,63.1
2025-03-08,1,27,3.7%,75.6
2025-03-09,0,18,0%,68.4
2025-03-10,0,17,0%,61.9
2025-03-11,1,19,5.26%,67.9
2025-03-12,0,33,0%,77.7
2025-03-13,0,31,0%,66
2025-03-14,0,51,0%,74.8
2025-03-15,0,29,0%,78.1
2025-03-16,0,35,0%,77.7
2025-03-17,0,35,0%,65.5
2025-03-18,0,24,0%,70.3
2025-03-19,0,41,0%,76.2
2025-03-20,0,26,0%,65.9
2025-03-21,0,14,0%,59.1
2025-03-22,0,9,0%,56.9
2025-03-23,0,7,0%,50
2025-03-24,0,15,0%,50.2
2025-03-25,0,8,0%,57
2025-03-26,0,17,0%,49.9
2025-03-27,0,17,0%,58.9
2025-03-28,1,18,5.56%,50.9
2025-03-29,0,14,0%,56.2
2025-03-30,0,11,0%,57.9
2025-03-31,0,19,0%,63.2
2025-04-01,0,28,0%,62.4
2025-04-02,0,16,0%,63.2
2025-04-03,0,18,0%,70.7
2025-04-04,0,21,0%,69
2025-04-05,0,18,0%,63
2025-04-06,0,18,0%,72.6
2025-04-07,0,19,0%,58.5
2025-04-08,0,17,0%,65.1
2025-04-09,0,19,0%,61.2
2025-04-10,0,20,0%,46.4
2025-04-11,0,42,0%,65.4
2025-04-12,0,12,0%,56
2025-04-13,0,8,0%,56.1
2025-04-14,0,13,0%,51.8
2025-04-15,0,9,0%,57.8
2025-04-16,0,6,0%,63.3
2025-04-17,0,26,0%,63.3
2025-04-18,0,15,0%,46.3
2025-04-19,0,10,0%,52.1
2025-04-20,0,15,0%,56.1
2025-04-21,0,10,0%,65.4
2025-04-22,0,8,0%,56.8
2025-04-23,0,17,0%,53.3
2025-04-24,0,42,0%,63.2
2025-04-25,0,15,0%,59.9
2025-04-26,1,14,7.14%,59.6
2025-04-27,0,16,0%,69.7
2025-04-28,0,14,0%,70.5
2025-04-29,0,14,0%,59.5
2025-04-30,1,24,4.17%,55.4
2025-05-01,0,22,0%,65.9
2025-05-02,0,13,0%,64.5
2025-05-03,0,10,0%,58.1
2025-05-04,0,18,0%,48.4
2025-05-05,0,13,0%,63.7
2025-05-06,0,13,0%,57.2
2025-05-07,0,18,0%,57.9
2025-05-08,0,13,0%,49.8
2025-05-09,0,19,0%,46
2025-05-10,0,13,0%,60.8
2025-05-11,0,12,0%,66.5
2025-05-12,0,11,0%,66.4
2025-05-13,0,12,0%,62.5
2025-05-14,0,17,0%,55.5
2025-05-15,0,11,0%,58.5
2025-05-16,0,14,0%,56.9
2025-05-17,0,17,0%,56.5
2025-05-18,0,17,0%,43.7
2025-05-19,0,13,0%,52.6
2025-05-20,0,13,0%,50.8
2025-05-21,0,30,0%,63.6
2025-05-22,0,16,0%,60.5
2025-05-23,0,17,0%,51.2
2025-05-24,0,21,0%,54.7
2025-05-25,0,17,0%,39.2
2025-05-26,0,11,0%,55.5
2025-05-27,0,17,0%,56.1
2025-05-28,0,26,0%,52.2
2025-05-29,0,18,0%,50.8
2025-05-30,0,11,0%,56.2
2025-05-31,0,15,0%,49
2025-06-01,0,21,0%,46
2025-06-02,0,13,0%,43.3
2025-06-03,0,15,0%,50.7
2025-06-04,0,13,0%,53.7
2025-06-05,0,15,0%,53.1
2025-06-06,0,15,0%,59
2025-06-07,0,9,0%,52.8
2025-06-08,0,14,0%,56.9
2025-06-09,0,14,0%,54.7
2025-06-10,0,8,0%,53.5
2025-06-11,0,19,0%,54.2
2025-06-12,0,17,0%,36.2
2025-06-13,0,13,0%,57.1
2025-06-14,1,15,6.67%,51.4
2025-06-15,1,11,9.09%,41
2025-06-16,0,16,0%,53.6
2025-06-17,0,23,0%,54.7
2025-06-18,0,20,0%,50.2
2025-06-19,0,11,0%,52.4
2025-06-20,0,17,0%,53.2
2025-06-21,0,14,0%,50.1
2025-06-22,0,22,0%,67.9
2025-06-23,0,16,0%,67.9
2025-06-24,0,28,0%,58.3
2025-06-25,0,31,0%,70.7
2025-06-26,0,33,0%,70.2
2025-06-27,0,25,0%,74.7
2025-06-28,0,24,0%,70.3
2025-06-29,0,32,0%,73.9
2025-06-30,0,27,0%,68.4
2025-07-01,0,37,0%,73
2025-07-02,0,40,0%,73.1
2025-07-03,0,28,0%,78
2025-07-04,0,40,0%,71.9
2025-07-05,1,29,3.45%,70
2025-07-06,0,34,0%,69
2025-07-07,1,55,1.82%,69.5
2025-07-08,1,28,3.57%,64.2
2025-07-09,0,40,0%,68.9
2025-07-10,0,42,0%,69.6
2025-07-11,0,58,0%,76.4
2025-07-12,0,33,0%,74.2
2025-07-13,0,25,0%,75.5
2025-07-14,0,29,0%,72.7
2025-07-15,1,58,1.72%,71.6
2025-07-16,1,47,2.13%,60.5
2025-07-17,0,52,0%,77.8
2025-07-18,0,54,0%,74.3
2025-07-19,0,98,0%,72.8
2025-07-20,0,106,0%,73.2
2025-07-21,0,140,0%,75.5
2025-07-22,0,132,0%,74.8
2025-07-23,0,125,0%,75.1
2025-07-24,0,133,0%,75.5
2025-07-25,0,107,0%,74.5
2025-07-26,0,131,0%,74.6
2025-07-27,0,133,0%,76.6
2025-07-28,0,124,0%,76.9
2025-07-29,1,97,1.03%,76.2
2025-07-30,0,144,0%,78.5
2025-07-31,0,106,0%,71.7
2025-08-01,0,71,0%,74.8
2025-08-02,0,98,0%,76.6
2025-08-03,0,78,0%,78.6
2025-08-04,0,92,0%,76
2025-08-05,0,75,0%,75
2025-08-06,0,90,0%,73.6
2025-08-07,0,75,0%,74.9
2025-08-08,1,62,1.61%,76.2
2025-08-09,0,74,0%,73.4
2025-08-10,0,81,0%,77.6
2025-08-11,0,86,0%,74.8
2025-08-12,0,60,0%,75.9
2025-08-13,0,96,0%,76.5
2025-08-14,0,62,0%,74.4
2025-08-15,0,52,0%,72.4
2025-08-16,0,63,0%,71.6
2025-08-17,1,70,1.43%,72.4
2025-08-18,0,71,0%,70.9
2025-08-19,0,69,0%,73.7
2025-08-20,0,69,0%,72.7
2025-08-21,0,22,0%,56.9
2025-08-22,0,14,0%,73.4
2025-08-23,0,19,0%,74.1
2025-08-24,0,23,0%,39.7
2025-08-25,0,11,0%,75.6
2025-08-26,0,35,0%,59.3
2025-08-27,0,13,0%,48.4
2025-08-28,0,14,0%,56.8
2025-08-29,0,23,0%,59
2025-08-30,0,6,0%,75
2025-08-31,0,8,0%,84.5
2025-09-01,0,13,0%,51.1
2025-09-02,0,17,0%,69.2
2025-09-03,0,10,0%,68.4
2025-09-04,0,25,0%,41.4
2025-09-05,0,15,0%,53.3
2025-09-06,0,10,0%,44.8
2025-09-07,0,10,0%,69.4
2025-09-08,0,12,0%,58.9
2025-09-09,0,11,0%,58.5
2025-09-10,0,8,0%,57.5
2025-09-11,0,10,0%,68.1
2025-09-12,0,3,0%,20.7
2025-09-13,0,4,0%,6.5
2025-09-14,0,11,0%,41.6
2025-09-15,0,12,0%,37
2025-09-16,0,3,0%,6.3
2025-09-17,0,1,0%,71
2025-09-18,0,12,0%,46.9
2025-09-19,0,1,0%,58
2025-09-20,0,0,,
2025-09-21,0,5,0%,7
2025-09-22,0,1,0%,84
2025-09-23,0,8,0%,61.2
2025-09-24,0,1,0%,9
2025-09-25,0,5,0%,45.2
2025-09-26,0,4,0%,23.8
2025-09-27,0,3,0%,34.7
2025-09-28,0,3,0%,71
2025-09-29,0,4,0%,51.8
2025-09-30,0,2,0%,31
2025-10-01,0,6,0%,21
2025-10-02,0,10,0%,23.7
2025-10-03,0,4,0%,35.8
2025-10-04,0,2,0%,45
2025-10-05,0,3,0%,8.7
2025-10-06,0,13,0%,5
2025-10-07,0,3,0%,46.3
2025-10-08,1,5,20%,49
2025-10-09,0,4,0%,43
2025-10-10,0,9,0%,14.7
2025-10-11,0,1,0%,76
2025-10-12,0,0,,
2025-10-13,0,2,0%,3.5
2025-10-14,0,17,0%,20.4
2025-10-15,1,5,20%,18.8
2025-10-16,0,3,0%,2.7
2025-10-17,1,13,7.69%,25.9
2025-10-18,0,2,0%,37.5
2025-10-19,0,3,0%,8
2025-10-20,0,9,0%,22.7
2025-10-21,0,6,0%,44.5
2025-10-22,0,6,0%,23.7
2025-10-23,0,6,0%,16
2025-10-24,0,3,0%,65.7
2025-10-25,0,3,0%,26.7
2025-10-26,0,0,,
2025-10-27,0,2,0%,6.5
2025-10-28,0,3,0%,32.3
2025-10-29,0,3,0%,25.7
2025-10-30,0,5,0%,51.4
2025-10-31,0,2,0%,31.5
2025-11-01,0,2,0%,27.5
