Country,Clicks,Impressions,CTR,Position
United Kingdom,18,3030,0.59%,66.13
United States,7,2676,0.26%,59.31
Canada,1,637,0.16%,69.43
New Zealand,1,20,5%,62.5
Poland,1,19,5.26%,60.42
Brazil,0,623,0%,70.6
India,0,188,0%,77.73
Russia,0,141,0%,70.87
Germany,0,89,0%,66.63
Vietnam,0,87,0%,69.49
South Korea,0,85,0%,65.11
Spain,0,74,0%,63.57
Australia,0,73,0%,70.82
Argentina,0,64,0%,71.59
France,0,63,0%,66.16
Italy,0,60,0%,67.52
South Africa,0,57,0%,79.81
Mexico,0,53,0%,67.23
Indonesia,0,49,0%,66.84
Ireland,0,42,0%,66.31
Bangladesh,0,40,0%,69.9
Netherlands,0,38,0%,64.87
Turkey,0,37,0%,63.62
Ukraine,0,31,0%,71.87
Thailand,0,30,0%,19.57
Malaysia,0,28,0%,68.75
Pakistan,0,27,0%,64.67
Saudi Arabia,0,24,0%,63.25
Ecuador,0,24,0%,63.54
Philippines,0,22,0%,72.32
Venezuela,0,21,0%,56.95
Uzbekistan,0,21,0%,71.52
Taiwan,0,20,0%,69.4
Jordan,0,19,0%,57.95
Singapore,0,18,0%,71.72
Morocco,0,16,0%,63.31
Trinidad & Tobago,0,15,0%,53.6
Tunisia,0,15,0%,68.13
Chile,0,15,0%,77.13
Japan,0,14,0%,63.21
Paraguay,0,12,0%,72.17
Colombia,0,12,0%,73.83
Finland,0,12,0%,82.5
Norway,0,12,0%,82.58
Jamaica,0,11,0%,55
Egypt,0,11,0%,64
Israel,0,11,0%,64.45
Iraq,0,11,0%,69.27
Portugal,0,10,0%,43.5
United Arab Emirates,0,10,0%,51.6
Czechia,0,10,0%,68.1
Denmark,0,10,0%,70.7
Bosnia & Herzegovina,0,10,0%,73.7
Bulgaria,0,10,0%,83
Unknown Region,0,9,0%,59
Belgium,0,8,0%,54.25
Sweden,0,8,0%,70.38
Nigeria,0,8,0%,80.25
Uruguay,0,7,0%,61.29
Barbados,0,7,0%,64.29
Algeria,0,7,0%,66
Peru,0,7,0%,81.43
Cyprus,0,6,0%,30.67
Kazakhstan,0,6,0%,58
Ghana,0,6,0%,63.17
Austria,0,6,0%,72.33
Lithuania,0,6,0%,75
Hungary,0,6,0%,83.17
Kenya,0,5,0%,28.4
Romania,0,5,0%,42
Greece,0,5,0%,45
Costa Rica,0,5,0%,65.8
Kuwait,0,5,0%,70.4
Oman,0,5,0%,70.6
Nepal,0,4,0%,54
Belarus,0,4,0%,59.75
Bolivia,0,4,0%,59.75
Azerbaijan,0,4,0%,71.75
Palestine,0,4,0%,74.5
Iran,0,4,0%,82
Panama,0,3,0%,44
Nicaragua,0,3,0%,55
Serbia,0,3,0%,61.33
Guyana,0,3,0%,73
Latvia,0,3,0%,83.67
Albania,0,3,0%,88.67
Senegal,0,2,0%,18.5
El Salvador,0,2,0%,23
Bahamas,0,2,0%,33.5
Sudan,0,2,0%,33.5
Switzerland,0,2,0%,37.5
Luxembourg,0,2,0%,41
Bahrain,0,2,0%,51
Guatemala,0,2,0%,53.5
Zimbabwe,0,2,0%,53.5
Hong Kong,0,2,0%,56
Honduras,0,2,0%,61.5
Myanmar (Burma),0,2,0%,67
Antigua & Barbuda,0,2,0%,68.5
Lebanon,0,2,0%,70
Armenia,0,2,0%,73
Estonia,0,2,0%,75
Croatia,0,2,0%,80
Puerto Rico,0,1,0%,1
Macedonia,0,1,0%,5
Cayman Islands,0,1,0%,7
Côte d’Ivoire,0,1,0%,11
Libya,0,1,0%,35
Kyrgyzstan,0,1,0%,36
China,0,1,0%,44
St. Lucia,0,1,0%,48
Ethiopia,0,1,0%,51
Macau,0,1,0%,51
Suriname,0,1,0%,51
Slovakia,0,1,0%,55
Seychelles,0,1,0%,58
Aruba,0,1,0%,62
Iceland,0,1,0%,73
Dominica,0,1,0%,81
Moldova,0,1,0%,81
Georgia,0,1,0%,84
Zambia,0,1,0%,86
Gabon,0,1,0%,87
Slovenia,0,1,0%,88
St. Vincent & Grenadines,0,1,0%,89
Syria,0,1,0%,90
Botswana,0,1,0%,94
Curaçao,0,1,0%,98
Dominican Republic,0,1,0%,101
Togo,0,1,0%,101
