Date,Clicks,Impressions,CTR,Position
2025-12-04,0,19,0%,34
2025-12-05,0,10,0%,45.7
2025-12-06,0,12,0%,51
2025-12-07,1,20,5%,18.8
2025-12-08,0,9,0%,44.6
2025-12-09,0,17,0%,48.9
2025-12-10,0,5,0%,51.2
2025-12-11,0,15,0%,57.3
2025-12-12,0,14,0%,55.7
2025-12-13,0,9,0%,38.7
2025-12-14,0,10,0%,47.3
2025-12-15,0,5,0%,74
2025-12-16,0,20,0%,43.2
2025-12-17,0,9,0%,38.8
2025-12-18,0,8,0%,57.6
2025-12-19,0,19,0%,44.2
2025-12-20,0,7,0%,65.3
2025-12-21,0,8,0%,55.1
2025-12-22,0,7,0%,57.7
2025-12-23,0,11,0%,60.4
2025-12-24,1,17,5.88%,26.2
2025-12-25,0,10,0%,63.2
2025-12-26,0,14,0%,52.7
2025-12-27,0,5,0%,60.2
2025-12-28,0,9,0%,44.8
2025-12-29,0,4,0%,34
2025-12-30,0,17,0%,41.5
2025-12-31,0,10,0%,50.4
2026-01-01,0,5,0%,56
2026-01-02,0,6,0%,61.8
2026-01-03,1,10,10%,26.6
2026-01-04,0,9,0%,39.8
2026-01-05,0,13,0%,28.9
2026-01-06,0,20,0%,20.1
2026-01-07,0,40,0%,21.7
2026-01-08,0,41,0%,23.9
2026-01-09,1,23,4.35%,29
2026-01-10,0,22,0%,18.6
2026-01-11,0,13,0%,21.7
2026-01-12,0,40,0%,7.6
2026-01-13,0,71,0%,7.1
2026-01-14,0,21,0%,18.9
2026-01-15,0,7,0%,6.3
2026-01-16,0,2,0%,14.5
2026-01-17,1,15,6.67%,10.5
2026-01-18,0,3,0%,21.7
2026-01-19,0,9,0%,23.2
2026-01-20,0,4,0%,16.8
2026-01-21,0,35,0%,55.5
2026-01-22,0,48,0%,56.2
2026-01-23,0,11,0%,39.3
2026-01-24,0,5,0%,32.4
2026-01-25,0,7,0%,23.7
2026-01-26,0,25,0%,27.4
2026-01-27,0,17,0%,28.5
2026-01-28,0,4,0%,36.2
2026-01-29,0,21,0%,14.3
2026-01-30,0,15,0%,6.1
2026-01-31,0,13,0%,12
2026-02-01,0,7,0%,9.3
2026-02-02,0,15,0%,16.5
2026-02-03,0,18,0%,18.9
2026-02-04,0,9,0%,27.3
2026-02-05,0,3,0%,22
2026-02-06,0,8,0%,13.8
2026-02-07,0,10,0%,29
2026-02-08,0,8,0%,7
2026-02-09,0,1,0%,31
2026-02-10,0,12,0%,15.3
2026-02-11,0,14,0%,46.1
2026-02-12,0,10,0%,24.8
2026-02-13,0,10,0%,25.4
2026-02-14,0,11,0%,34.5
2026-02-15,0,4,0%,47.5
2026-02-16,0,4,0%,28
2026-02-17,0,13,0%,21.2
2026-02-18,0,15,0%,37.3
2026-02-19,0,6,0%,27
2026-02-20,0,16,0%,36.2
2026-02-21,0,11,0%,65.3
2026-02-22,0,8,0%,31.8
2026-02-23,1,8,12.5%,22.4
2026-02-24,0,14,0%,17.6
2026-02-25,0,12,0%,28.9
2026-02-26,0,13,0%,12.4
2026-02-27,0,5,0%,24.4
2026-02-28,0,10,0%,13.8
2026-03-01,0,8,0%,15.2
2026-03-02,1,10,10%,23.1
2026-03-03,0,20,0%,20.2
