Country,Clicks,Impressions,CTR,Position
United Kingdom,20,3203,0.62%,64.65
United States,9,3006,0.3%,59.11
Canada,1,661,0.15%,68.53
Ireland,1,46,2.17%,65.93
Poland,1,25,4%,53.16
New Zealand,1,22,4.55%,60.45
Brazil,0,656,0%,70.8
India,0,207,0%,76
Russia,0,167,0%,71.5
Vietnam,0,117,0%,66.84
Germany,0,108,0%,68.09
South Korea,0,99,0%,64.95
Spain,0,84,0%,61.94
Australia,0,80,0%,70.76
Italy,0,69,0%,65.46
France,0,68,0%,64.04
Argentina,0,65,0%,71.43
South Africa,0,60,0%,78.18
Indonesia,0,58,0%,68.09
Mexico,0,53,0%,67.23
Netherlands,0,44,0%,60.34
Bangladesh,0,44,0%,67.23
Turkey,0,38,0%,63.16
Thailand,0,34,0%,26.24
Ukraine,0,33,0%,69.45
Pakistan,0,30,0%,66.93
Malaysia,0,30,0%,71.37
Philippines,0,26,0%,70.88
Saudi Arabia,0,25,0%,63.72
Taiwan,0,25,0%,70.32
Ecuador,0,24,0%,63.54
Venezuela,0,23,0%,56.43
Singapore,0,23,0%,65.96
Japan,0,22,0%,64.95
Uzbekistan,0,21,0%,71.52
Jordan,0,19,0%,57.95
Morocco,0,17,0%,59.82
Trinidad & Tobago,0,16,0%,53.69
Egypt,0,16,0%,58.5
Chile,0,16,0%,78.31
Tunisia,0,15,0%,68.13
Finland,0,15,0%,76.93
Portugal,0,14,0%,44.36
Jamaica,0,14,0%,50.21
Paraguay,0,14,0%,65.57
United Arab Emirates,0,13,0%,54.46
Iraq,0,13,0%,65.77
Colombia,0,13,0%,74.46
Norway,0,13,0%,82.62
Unknown Region,0,12,0%,60.75
Israel,0,12,0%,65.83
Bulgaria,0,12,0%,69.92
Czechia,0,11,0%,62.18
Barbados,0,11,0%,64.36
Denmark,0,11,0%,70.18
Bosnia & Herzegovina,0,10,0%,73.7
Belgium,0,9,0%,49.22
Algeria,0,9,0%,52.78
Sweden,0,9,0%,68.78
Nigeria,0,9,0%,71.44
Peru,0,9,0%,75.78
Kazakhstan,0,8,0%,61.62
Kenya,0,7,0%,31.29
Ghana,0,7,0%,54.57
Uruguay,0,7,0%,61.29
Cyprus,0,6,0%,30.67
Austria,0,6,0%,72.33
Kuwait,0,6,0%,72.33
Lithuania,0,6,0%,75
Hungary,0,6,0%,83.17
Romania,0,5,0%,42
Greece,0,5,0%,45
Nepal,0,5,0%,55.2
Belarus,0,5,0%,60.2
Costa Rica,0,5,0%,65.8
Oman,0,5,0%,70.6
Panama,0,4,0%,45
Bolivia,0,4,0%,59.75
Latvia,0,4,0%,66.75
Hong Kong,0,4,0%,70.75
Azerbaijan,0,4,0%,71.75
Palestine,0,4,0%,74.5
Iran,0,4,0%,82
Guatemala,0,3,0%,36.33
Bahamas,0,3,0%,41
Switzerland,0,3,0%,44
Dominican Republic,0,3,0%,54
Nicaragua,0,3,0%,55
Croatia,0,3,0%,56
Serbia,0,3,0%,61.33
Guyana,0,3,0%,73
Albania,0,3,0%,88.67
Senegal,0,2,0%,18.5
Sri Lanka,0,2,0%,21
El Salvador,0,2,0%,23
Sudan,0,2,0%,33.5
Luxembourg,0,2,0%,41
Bahrain,0,2,0%,51
Zimbabwe,0,2,0%,53.5
Honduras,0,2,0%,61.5
China,0,2,0%,66
Myanmar (Burma),0,2,0%,67
Antigua & Barbuda,0,2,0%,68.5
Lebanon,0,2,0%,70
Armenia,0,2,0%,73
Estonia,0,2,0%,75
Puerto Rico,0,1,0%,1
Macedonia,0,1,0%,5
Cayman Islands,0,1,0%,7
Côte d’Ivoire,0,1,0%,11
Libya,0,1,0%,35
Kyrgyzstan,0,1,0%,36
Fiji,0,1,0%,43
St. Lucia,0,1,0%,48
Ethiopia,0,1,0%,51
Macau,0,1,0%,51
Suriname,0,1,0%,51
Slovakia,0,1,0%,55
Seychelles,0,1,0%,58
Aruba,0,1,0%,62
Iceland,0,1,0%,73
Dominica,0,1,0%,81
Moldova,0,1,0%,81
Georgia,0,1,0%,84
Uganda,0,1,0%,85
Zambia,0,1,0%,86
Gabon,0,1,0%,87
Slovenia,0,1,0%,88
St. Vincent & Grenadines,0,1,0%,89
Syria,0,1,0%,90
Mauritius,0,1,0%,91
Botswana,0,1,0%,94
Qatar,0,1,0%,95
Curaçao,0,1,0%,98
Togo,0,1,0%,101
